Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
26.02.2020 00:00:00;1;0;0;1;0
27.02.2020 00:00:00;2;0;0;2;0
28.02.2020 00:00:00;4;0;0;4;0
29.02.2020 00:00:00;1;0;0;1;0
01.03.2020 00:00:00;4;0;0;4;0
02.03.2020 00:00:00;5;0;0;5;0
03.03.2020 00:00:00;6;0;0;6;0
04.03.2020 00:00:00;14;0;0;14;0
05.03.2020 00:00:00;9;2;0;7;0
06.03.2020 00:00:00;29;0;0;29;0
07.03.2020 00:00:00;23;0;0;23;0
08.03.2020 00:00:00;28;0;0;28;0
09.03.2020 00:00:00;22;0;0;22;0
10.03.2020 00:00:00;55;1;0;54;0
11.03.2020 00:00:00;109;1;0;108;0
12.03.2020 00:00:00;98;3;1;94;0
13.03.2020 00:00:00;182;0;0;182;0
14.03.2020 00:00:00;210;3;1;206;0
15.03.2020 00:00:00;198;4;1;193;0
16.03.2020 00:00:00;226;12;2;212;0
17.03.2020 00:00:00;346;2;2;342;0
18.03.2020 00:00:00;372;2;5;365;0
19.03.2020 00:00:00;455;4;3;448;0
20.03.2020 00:00:00;509;10;5;494;0
21.03.2020 00:00:00;548;11;6;531;0
22.03.2020 00:00:00;618;19;8;591;0
23.03.2020 00:00:00;687;56;12;619;0
24.03.2020 00:00:00;723;91;10;622;0
25.03.2020 00:00:00;754;97;9;648;0
26.03.2020 00:00:00;1057;160;16;881;0
27.03.2020 00:00:00;807;221;20;566;0
28.03.2020 00:00:00;617;196;19;402;0
29.03.2020 00:00:00;547;251;14;282;0
30.03.2020 00:00:00;672;369;21;282;0
31.03.2020 00:00:00;550;376;18;156;0
01.04.2020 00:00:00;549;344;11;194;16834
02.04.2020 00:00:00;438;383;20;35;75356
03.04.2020 00:00:00;411;472;18;-79;6153
04.04.2020 00:00:00;253;533;20;-300;5791
05.04.2020 00:00:00;183;344;22;-183;4282
06.04.2020 00:00:00;306;717;31;-442;2880
07.04.2020 00:00:00;289;520;29;-260;3939
08.04.2020 00:00:00;290;610;17;-337;5520
09.04.2020 00:00:00;276;599;22;-345;5532
10.04.2020 00:00:00;357;637;23;-303;8456
11.04.2020 00:00:00;203;402;17;-216;6232
12.04.2020 00:00:00;111;314;12;-215;3902
13.04.2020 00:00:00;87;307;21;-241;3535
14.04.2020 00:00:00;150;557;13;-420;3384
15.04.2020 00:00:00;129;492;15;-378;5005
16.04.2020 00:00:00;111;454;22;-365;6015
